claim_id,policy_value_inr,claim_amount_inr,incident_description_length,previous_claim_count,claim_outcome
CL0001,903872,29185,73,1,Normal
CL0002,1161864,211461,358,2,Normal
CL0003,659252,84010,336,3,Flagged
CL0004,957689,46181,60,2,Normal
CL0005,1178840,66976,76,1,Normal
CL0006,736502,50767,472,1,Normal
CL0007,1069520,149893,328,0,Normal
CL0008,286351,155002,146,,Flagged
CL0009,1150309,53393,165,1,Normal
CL0010,528597,48880,263,0,Normal
CL0011,611370,55851,371,0,Normal
CL0012,337418,45136,143,3,Flagged
CL0013,865832,53529,475,0,Normal
CL0014,533859,60299,236,2,Normal
CL0015,665264,83741,397,1,Normal
CL0016,211706,190535,233,2,Flagged
CL0017,861785,97676,356,0,Normal
CL0018,1173010,186618,383,2,Normal
CL0019,487054,55405,97,1,Normal
CL0020,175478,75919,238,1,Flagged
CL0021,851373,81354,160,1,Normal
CL0022,1179507,106548,297,0,Normal
CL0023,631022,90864,35,2,Flagged
CL0024,353104,42494,255,2,Normal
CL0025,605606,60507,165,2,Normal
CL0026,833968,94274,313,0,Normal
CL0027,456622,129122,352,3,Flagged
CL0028,531109,341576,479,2,Flagged
CL0029,219443,34134,451,0,Normal
CL0030,838166,95833,320,2,Normal
CL0031,616909,45506,298,2,Normal
CL0032,883457,132170,488,0,Normal
CL0033,1067755,55723,436,0,Normal
CL0034,561871,78166,183,2,Normal
CL0035,807296,34040,365,2,Normal
CL0036,470765,99022,339,0,Normal
CL0037,991585,106862,,1,Normal
CL0038,999011,40187,335,1,Normal
CL0039,896942,109984,83,2,Normal
CL0040,998312,73135,236,0,Normal
CL0041,794840,142980,436,0,Normal
CL0042,648533,51697,318,0,Normal
CL0043,1046692,74648,110,1,Normal
CL0044,1085895,27076,88,1,Normal
CL0045,217924,71604,232,1,Normal
CL0046,690032,39256,195,2,Normal
CL0047,710780,66248,441,2,Normal
CL0048,569453,336829,344,4,Flagged
CL0049,1029842,102786,134,2,Normal
CL0050,493433,101194,316,1,Normal
CL0051,1010713,55981,435,4,Flagged
CL0052,550471,94367,73,1,Normal
CL0053,333372,45904,130,0,Normal
CL0054,777750,480311,170,4,Flagged
CL0055,537121,120854,389,1,Normal
CL0056,1155412,151828,39,1,Flagged
CL0057,871949,76680,463,2,Normal
CL0058,520690,58076,442,0,Normal
CL0059,221393,125085,196,4,Flagged
CL0060,1027308,133373,153,1,Normal
CL0061,1187289,48897,324,1,Normal
CL0062,616988,29789,283,0,Normal
CL0063,1151826,139580,189,1,Normal
CL0064,938904,28400,84,2,Normal
CL0065,491730,61709,100,0,Normal
CL0066,476082,187310,340,1,Flagged
CL0067,316450,106846,55,0,Flagged
CL0068,447728,107273,356,2,Normal
CL0069,176944,77894,,0,Flagged
CL0070,793563,55786,55,2,Flagged
CL0071,441318,93547,247,2,Normal
CL0072,182664,164398,89,5,Flagged
CL0073,753863,125703,246,0,Normal
CL0074,699346,76790,401,0,Normal
CL0075,472454,75709,357,2,Normal
CL0076,1104952,45264,182,0,Normal
CL0077,620244,80055,182,0,Normal
CL0078,542020,75369,118,1,Normal
CL0079,1063343,118832,455,1,Normal
CL0080,1060816,84052,450,2,Normal
CL0081,1164929,169806,68,1,Normal
CL0082,1051073,155213,416,1,Normal
CL0083,1116826,33346,189,1,Normal
CL0084,168876,64823,239,0,Flagged
CL0085,887479,46175,170,2,Normal
CL0086,999736,75918,478,0,Normal
CL0087,1106255,262510,343,3,Flagged
CL0088,519803,106123,47,0,Flagged
CL0089,1162742,131928,203,0,Normal
CL0090,366806,110985,478,0,Normal
CL0091,343449,91150,284,2,Normal
CL0092,1067239,114222,109,0,Normal
CL0093,1104452,226782,44,1,Flagged
CL0094,212516,91045,362,1,Flagged
CL0095,1198734,127858,489,1,Normal
CL0096,346490,24900,30,1,Flagged
CL0097,1065267,42878,232,0,Normal
CL0098,792549,173818,337,0,Normal
CL0099,241965,214826,42,1,Flagged
CL0100,518442,132479,429,0,Normal
CL0101,1166483,26732,396,3,Flagged
CL0102,672487,76886,110,1,Normal
CL0103,339499,82166,246,3,Flagged
CL0104,503086,52079,470,0,Normal
CL0105,871868,151630,198,1,Normal
CL0106,305808,41203,466,0,Normal
CL0107,1142226,111809,332,1,Normal
CL0108,876527,174114,100,0,Normal
CL0109,652628,211752,320,1,Normal
CL0110,654448,77763,133,2,Normal
CL0111,424710,61262,491,0,Normal
CL0112,938018,82253,34,3,Flagged
CL0113,228603,126850,492,1,Flagged
CL0114,1069752,52372,366,1,Normal
CL0115,678656,112550,194,1,Normal
CL0116,518196,190153,330,0,Flagged
CL0117,1172854,32737,180,1,Normal
CL0118,691192,122242,258,4,Flagged
CL0119,1125692,96891,166,2,Normal
CL0120,179531,86585,306,1,Flagged
CL0009,1150309,53393,165,1,Normal
CL0098,792549,173818,337,0,Normal
CL0069,176944,77894,,0,Flagged
